title,detail_description,rating,reviews,URL
Max Men's Slim Fit Jeans,"Max Men's Slim Fit Jeans,Care Instructions: Machine Wash, Fit Type: Regular Fit, 73 COTTON 25 POLY 2 SPANDEX, BLACK, MAX Men Jeans, Care : Machine Wash",3.8,12 ratings,https://amazon.in/Max-Mens-Regular-Jeans-NOOSNSMBKNDBLACK_Black_34/dp/B09CNRV394/ref=sr_1_49?crid=1HKR4GMZ4XLL9&keywords=clothes+for+men&qid=1684480943&refinements=p_n_feature_nineteen_browse-bin%3A27064186031&rnid=11301356031&s=apparel&sprefix=%2Capparel%2C170&sr=1-49
Wrangler Men's Slim Fit Jeans,"Wrangler Men's Slim Fit Jeans,Care Instructions: Machine Wash, Fit Type: Slim, Material : Stretch Cotton, Color : Grey, Department: mens",4.2,4 ratings,https://amazon.in/Wrangler-Mens-Slim-Jeans-WMJN003253_Grey_38/dp/B09RMYQLC1/ref=sr_1_50?crid=1HKR4GMZ4XLL9&keywords=clothes+for+men&qid=1684480943&refinements=p_n_feature_nineteen_browse-bin%3A27064186031&rnid=11301356031&s=apparel&sprefix=%2Capparel%2C170&sr=1-50
Pepe Jeans Men's Chinox Super Skinny Fit Mid Waist Ankle Length Jeans,"Pepe Jeans Men's Chinox Super Skinny Fit Mid Waist Ankle Length Jeans,Care Instructions: Machine Wash, Fit Type: Skinny, Super Skinny Fit",4.0,2 ratings,https://amazon.in/Pepe-Jeans-Skinny-PM206614G228_MID-WASH_34/dp/B09Q6FBP3V/ref=sr_1_51?crid=1HKR4GMZ4XLL9&keywords=clothes+for+men&qid=1684480943&refinements=p_n_feature_nineteen_browse-bin%3A27064186031&rnid=11301356031&s=apparel&sprefix=%2Capparel%2C170&sr=1-51
Van Heusen Denim Labs Men's Regular Fit Jeans,"Van Heusen Denim Labs Men's Regular Fit Jeans,Care Instructions: Machine Wash, Fit Type: Regular Fit, Regular Fit, 91% Cotton, 7% Polyester and 2% Lycra|Slim Fit Jeans, Casual",3.1,6 ratings,https://amazon.in/Van-Heusen-Denim-Labs-VXDNUBTFD60502_Navy_30/dp/B09QT8SKTT/ref=sr_1_52?crid=1HKR4GMZ4XLL9&keywords=clothes+for+men&qid=1684480943&refinements=p_n_feature_nineteen_browse-bin%3A27064186031&rnid=11301356031&s=apparel&sprefix=%2Capparel%2C170&sr=1-52
Wrangler Men's Slim Fit Jeans,"Wrangler Men's Slim Fit Jeans,Care Instructions: Hand Wash Only, Fit Type: Slim, Wrangler Denims",3.8,9 ratings,https://amazon.in/Wrangler-Deadwood-Denims-Sunlight-Size34/dp/B0B397PX1T/ref=sr_1_53?crid=1HKR4GMZ4XLL9&keywords=clothes+for+men&qid=1684480943&refinements=p_n_feature_nineteen_browse-bin%3A27064186031&rnid=11301356031&s=apparel&sprefix=%2Capparel%2C170&sr=1-53
Pepe Jeans Men's Tapered Fit Low Waist Lightly Washed Jeans,"Pepe Jeans Men's Tapered Fit Low Waist Lightly Washed Jeans,Care Instructions: Machine Wash, Fit Type: Western, Tapered Fit",,,https://amazon.in/Pepe-Jeans-Western-PM206610Q051_Light-WASH_38/dp/B09Q6CV12X/ref=sr_1_54?crid=1HKR4GMZ4XLL9&keywords=clothes+for+men&qid=1684480943&refinements=p_n_feature_nineteen_browse-bin%3A27064186031&rnid=11301356031&s=apparel&sprefix=%2Capparel%2C170&sr=1-54
Wrangler Men Jeans,"Wrangler Men Jeans,Care Instructions: Hand Wash Only, Fit Type: Slim, Wrangler Denims",3.3,3 ratings,https://amazon.in/Wrangler-Magnus-Denims-Midnight-Indigo/dp/B0B396PLSQ/ref=sr_1_55?crid=1HKR4GMZ4XLL9&keywords=clothes+for+men&qid=1684480943&refinements=p_n_feature_nineteen_browse-bin%3A27064186031&rnid=11301356031&s=apparel&sprefix=%2Capparel%2C170&sr=1-55
Max Men's Washed Slim Fit Denim Jeans,"Max Men's Washed Slim Fit Denim Jeans,Care Instructions: Machine Wash, Fit Type: Slim, 72 COTTON 25 POLY 3 ELASTANE, DARK GREY, MAX Men Jeans, Care : Machine Wash",3.3,4 ratings,https://amazon.in/Max-Regular-Jeans-NOOSNSLGRVDDARK-Grey_Dark/dp/B09CNRKTR5/ref=sr_1_56?crid=1HKR4GMZ4XLL9&keywords=clothes+for+men&qid=1684480943&refinements=p_n_feature_nineteen_browse-bin%3A27064186031&rnid=11301356031&s=apparel&sprefix=%2Capparel%2C170&sr=1-56
Wrangler Men's Slim Fit Jeans,"Wrangler Men's Slim Fit Jeans,Care Instructions: Machine Wash, Fit Type: Slim, Material : Stretch Cotton, Color : Grey, Department: mens",3.5,12 ratings,https://amazon.in/Wrangler-Mens-Slim-Jeans-WMJN003239_Grey_28/dp/B09RMZB7SN/ref=sr_1_57?crid=1HKR4GMZ4XLL9&keywords=clothes+for+men&qid=1684480943&refinements=p_n_feature_nineteen_browse-bin%3A27064186031&rnid=11301356031&s=apparel&sprefix=%2Capparel%2C170&sr=1-57
Max Men Men Distressed Carrot Fit Jeans (DMCCASU2211TDMID Blue_34),"Max Men Men Distressed Carrot Fit Jeans (DMCCASU2211TDMID Blue_34),Care Instructions: Machine Wash, Fit Type: Carrot Fit, Max Jeans, Colour :MID BLUE, Fabric :98% COTTON 2% SPANDEX",,,https://amazon.in/Max-Distressed-Carrot-DMCCASU2211TDMID-Blue_34/dp/B09S6KGPWL/ref=sr_1_58?crid=1HKR4GMZ4XLL9&keywords=clothes+for+men&qid=1684480943&refinements=p_n_feature_nineteen_browse-bin%3A27064186031&rnid=11301356031&s=apparel&sprefix=%2Capparel%2C170&sr=1-58
